Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489679,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2009 10:00,2.95,16163.0,United Kingdom
489683,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/2/2009 10:09,1.69,16131.0,United Kingdom
489683,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/2/2009 10:09,2.95,16131.0,United Kingdom
489695,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2009 10:48,2.95,16202.0,United Kingdom
489699,21931,JUMBO STORAGE BAG SUKI,10,12/2/2009 10:51,1.95,16700.0,United Kingdom
489699,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/2/2009 10:51,1.69,16700.0,United Kingdom
489702,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/2/2009 10:52,2.55,17511.0,United Kingdom
489702,21931,JUMBO STORAGE BAG SUKI,100,12/2/2009 10:52,1.65,17511.0,United Kingdom
489723,21232,STRAWBERRY CERAMIC TRINKET BOX,72,12/2/2009 10:58,1.06,14299.0,United Kingdom
489766,21931,JUMBO STORAGE BAG SUKI,1,12/2/2009 11:34,1.95,17818.0,United Kingdom
489786,84991,60 TEATIME FAIRY CAKE CASES,1,12/2/2009 11:52,0.55,17019.0,United Kingdom
489791,21232,STRAWBERRY CERAMIC TRINKET BOX,1,12/2/2009 12:06,1.25,15542.0,United Kingdom
489791,21931,JUMBO STORAGE BAG SUKI,2,12/2/2009 12:06,1.95,15542.0,United Kingdom
489792,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/2/2009 12:06,2.95,14527.0,United Kingdom
489792,21931,JUMBO STORAGE BAG SUKI,1,12/2/2009 12:06,1.95,14527.0,United Kingdom
489793,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2009 12:09,2.95,17476.0,United Kingdom
489796,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/2/2009 12:15,2.95,15680.0,United Kingdom
489796,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/2/2009 12:15,1.69,15680.0,United Kingdom
489800,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/2/2009 12:26,1.25,17768.0,United Kingdom
489802,21931,JUMBO STORAGE BAG SUKI,1,12/2/2009 12:32,1.95,15581.0,United Kingdom
489805,84991,60 TEATIME FAIRY CAKE CASES,3,12/2/2009 12:39,0.55,17377.0,United Kingdom
489807,21931,JUMBO STORAGE BAG SUKI,1,12/2/2009 12:43,1.95,15581.0,United Kingdom
489808,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/2/2009 12:44,2.95,14467.0,United Kingdom
489811,21232,STRAWBERRY CERAMIC TRINKET BOX,72,12/2/2009 12:54,1.06,16210.0,United Kingdom
489814,84991,60 TEATIME FAIRY CAKE CASES,24,12/2/2009 13:06,0.55,14669.0,United Kingdom
489814,47566,PARTY BUNTING,3,12/2/2009 13:06,4.65,14669.0,United Kingdom
489816,20727,LUNCH BAG  BLACK SKULL.,10,12/2/2009 13:20,1.65,16086.0,United Kingdom
489822,84879,ASSORTED COLOUR BIRD ORNAMENT,2,12/2/2009 13:26,1.69,14204.0,United Kingdom
489824,21232,STRAWBERRY CERAMIC TRINKET BOX,2,12/2/2009 13:33,1.25,16797.0,United Kingdom
489830,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/2/2009 13:57,2.95,13623.0,United Kingdom
489830,84991,60 TEATIME FAIRY CAKE CASES,5,12/2/2009 13:57,0.55,13623.0,United Kingdom
489832,21931,JUMBO STORAGE BAG SUKI,4,12/2/2009 14:06,1.95,14549.0,United Kingdom
489832,84991,60 TEATIME FAIRY CAKE CASES,2,12/2/2009 14:06,0.55,14549.0,United Kingdom
489832,47566,PARTY BUNTING,5,12/2/2009 14:06,4.65,14549.0,United Kingdom
489833,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/2/2009 14:09,2.95,14980.0,United Kingdom
489837,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,12/2/2009 14:21,2.95,14396.0,United Kingdom
489856,84991,60 TEATIME FAIRY CAKE CASES,2,12/2/2009 14:36,1.3,,United Kingdom
489856,47566,PARTY BUNTING,1,12/2/2009 14:36,8.65,,United Kingdom
489856,21931,JUMBO STORAGE BAG SUKI,4,12/2/2009 14:36,4.3,,United Kingdom
489856,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/2/2009 14:36,2.57,,United Kingdom
489856,20727,LUNCH BAG  BLACK SKULL.,3,12/2/2009 14:36,4.3,,United Kingdom
489857,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/2/2009 14:43,6.04,,United Kingdom
489857,84879,ASSORTED COLOUR BIRD ORNAMENT,2,12/2/2009 14:43,26.04,,United Kingdom
489857,84991,60 TEATIME FAIRY CAKE CASES,2,12/2/2009 14:43,1.3,,United Kingdom
489857,20727,LUNCH BAG  BLACK SKULL.,3,12/2/2009 14:43,4.3,,United Kingdom
489857,21232,STRAWBERRY CERAMIC TRINKET BOX,15,12/2/2009 14:43,2.57,,United Kingdom
489857,21931,JUMBO STORAGE BAG SUKI,2,12/2/2009 14:43,4.3,,United Kingdom
489864,85123A,WHITE HANGING HEART T-LIGHT HOLDER,46,12/2/2009 14:56,2.55,14987.0,United Kingdom
489866,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,12/2/2009 15:04,2.95,16200.0,United Kingdom
489866,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/2/2009 15:04,1.69,16200.0,United Kingdom
489866,21931,JUMBO STORAGE BAG SUKI,2,12/2/2009 15:04,1.95,16200.0,United Kingdom
489866,21232,STRAWBERRY CERAMIC TRINKET BOX,5,12/2/2009 15:04,1.25,16200.0,United Kingdom
489867,21232,STRAWBERRY CERAMIC TRINKET BOX,4,12/2/2009 15:08,1.25,,United Kingdom
489869,84879,ASSORTED COLOUR BIRD ORNAMENT,5,12/2/2009 15:15,1.69,16200.0,United Kingdom
489875,20727,LUNCH BAG  BLACK SKULL.,1,12/2/2009 15:41,1.65,17841.0,United Kingdom
489880,20727,LUNCH BAG  BLACK SKULL.,10,12/2/2009 16:18,1.65,13313.0,United Kingdom
489888,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/2/2009 16:49,1.69,14841.0,United Kingdom
489889,85123A,WHITE HANGING HEART T-LIGHT HOLDER,480,12/2/2009 16:52,2.55,14646.0,Netherlands
489892,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/2/2009 17:02,2.95,,United Kingdom
489894,84991,60 TEATIME FAIRY CAKE CASES,48,12/2/2009 17:18,0.55,17716.0,United Kingdom
489895,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/3/2009 7:25,1.25,12779.0,Poland
489896,84991,60 TEATIME FAIRY CAKE CASES,24,12/3/2009 7:57,0.55,13611.0,United Kingdom
489900,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/3/2009 9:44,1.69,14771.0,United Kingdom
489905,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/3/2009 10:03,1.69,13800.0,United Kingdom
489912,21931,JUMBO STORAGE BAG SUKI,10,12/3/2009 10:26,1.95,13931.0,United Kingdom
489912,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/3/2009 10:26,2.95,13931.0,United Kingdom
489914,84879,ASSORTED COLOUR BIRD ORNAMENT,48,12/3/2009 10:28,1.69,12921.0,United Kingdom
489914,20727,LUNCH BAG  BLACK SKULL.,30,12/3/2009 10:28,1.65,12921.0,United Kingdom
489914,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/3/2009 10:28,1.25,12921.0,United Kingdom
489932,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/3/2009 10:49,2.95,14347.0,United Kingdom
C489955,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,12/3/2009 10:57,1.25,12484.0,Spain
C489973,21232,STRAWBERRY CERAMIC TRINKET BOX,-6,12/3/2009 11:03,1.25,17865.0,United Kingdom
490001,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/3/2009 11:45,2.55,15965.0,United Kingdom
490002,21931,JUMBO STORAGE BAG SUKI,2,12/3/2009 11:46,1.95,17322.0,United Kingdom
490003,84991,60 TEATIME FAIRY CAKE CASES,24,12/3/2009 11:51,0.55,16159.0,United Kingdom
490008,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/3/2009 12:10,2.95,15768.0,United Kingdom
490009,21931,JUMBO STORAGE BAG SUKI,1,12/3/2009 12:13,1.95,12835.0,United Kingdom
490009,21232,STRAWBERRY CERAMIC TRINKET BOX,10,12/3/2009 12:13,1.25,12835.0,United Kingdom
490012,84991,60 TEATIME FAIRY CAKE CASES,24,12/3/2009 12:27,0.55,15179.0,United Kingdom
490011,84991,60 TEATIME FAIRY CAKE CASES,6,12/3/2009 12:27,0.55,16918.0,United Kingdom
490017,20727,LUNCH BAG  BLACK SKULL.,2,12/3/2009 12:31,1.65,14159.0,United Kingdom
490017,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,12/3/2009 12:31,2.95,14159.0,United Kingdom
490017,21232,STRAWBERRY CERAMIC TRINKET BOX,6,12/3/2009 12:31,1.25,14159.0,United Kingdom
490017,21931,JUMBO STORAGE BAG SUKI,1,12/3/2009 12:31,1.95,14159.0,United Kingdom
490024,21232,STRAWBERRY CERAMIC TRINKET BOX,2,12/3/2009 12:40,1.25,14606.0,United Kingdom
490024,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/3/2009 12:40,2.95,14606.0,United Kingdom
490034,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/3/2009 12:45,1.69,17287.0,United Kingdom
490048,84991,60 TEATIME FAIRY CAKE CASES,24,12/3/2009 13:03,0.55,16779.0,United Kingdom
490048,21232,STRAWBERRY CERAMIC TRINKET BOX,72,12/3/2009 13:03,1.06,16779.0,United Kingdom
490057,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/3/2009 13:25,2.95,17465.0,United Kingdom
490060,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/3/2009 13:32,2.95,13468.0,United Kingdom
490063,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/3/2009 13:49,2.95,17271.0,United Kingdom
490066,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/3/2009 14:00,1.69,15953.0,United Kingdom
490066,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,12/3/2009 14:00,2.55,15953.0,United Kingdom
490069,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/3/2009 14:07,1.25,13085.0,United Kingdom
490073,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/3/2009 14:36,2.55,14905.0,United Kingdom
490074,21232,STRAWBERRY CERAMIC TRINKET BOX,14,12/3/2009 14:39,2.57,,United Kingdom
490074,21931,JUMBO STORAGE BAG SUKI,2,12/3/2009 14:39,4.3,,United Kingdom
490074,84991,60 TEATIME FAIRY CAKE CASES,3,12/3/2009 14:39,1.3,,United Kingdom
490074,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/3/2009 14:39,6.04,,United Kingdom
490077,21931,JUMBO STORAGE BAG SUKI,6,12/3/2009 15:09,1.95,17293.0,United Kingdom
490077,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/3/2009 15:09,1.69,17293.0,United Kingdom
490078,21232,STRAWBERRY CERAMIC TRINKET BOX,2,12/3/2009 15:09,1.25,17853.0,United Kingdom
490081,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,12/3/2009 15:32,2.95,13786.0,United Kingdom
490083,84879,ASSORTED COLOUR BIRD ORNAMENT,160,12/3/2009 15:35,1.45,14031.0,United Kingdom
490087,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/3/2009 15:49,1.69,15601.0,United Kingdom
490087,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/3/2009 15:49,2.95,15601.0,United Kingdom
490092,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/3/2009 15:54,2.95,16612.0,United Kingdom
490092,21931,JUMBO STORAGE BAG SUKI,20,12/3/2009 15:54,1.95,16612.0,United Kingdom
490093,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/3/2009 15:56,1.69,12949.0,United Kingdom
490093,84991,60 TEATIME FAIRY CAKE CASES,48,12/3/2009 15:56,0.55,12949.0,United Kingdom
490093,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/3/2009 15:56,2.95,12949.0,United Kingdom
490093,21232,STRAWBERRY CERAMIC TRINKET BOX,36,12/3/2009 15:56,1.25,12949.0,United Kingdom
490097,21931,JUMBO STORAGE BAG SUKI,2,12/3/2009 16:09,1.95,17329.0,United Kingdom
490099,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/3/2009 16:12,1.25,16736.0,United Kingdom
490100,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/3/2009 16:21,2.95,13001.0,United Kingdom
490101,84991,60 TEATIME FAIRY CAKE CASES,24,12/3/2009 16:24,0.55,14644.0,United Kingdom
490109,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,12/3/2009 16:51,2.95,14755.0,United Kingdom
490111,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/3/2009 16:54,2.95,17576.0,United Kingdom
490114,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/3/2009 17:29,1.25,18168.0,United Kingdom
490125,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/3/2009 18:11,2.95,16558.0,United Kingdom
490127,84991,60 TEATIME FAIRY CAKE CASES,24,12/3/2009 18:13,0.55,14156.0,EIRE
490134,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/3/2009 18:41,2.95,17372.0,United Kingdom
490134,21232,STRAWBERRY CERAMIC TRINKET BOX,4,12/3/2009 18:41,1.25,17372.0,United Kingdom
490137,21931,JUMBO STORAGE BAG SUKI,2,12/3/2009 19:22,1.95,14713.0,United Kingdom
490140,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22,12/3/2009 20:03,2.95,12872.0,United Kingdom
490140,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/3/2009 20:03,1.69,12872.0,United Kingdom
490141,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/4/2009 8:24,2.95,15755.0,United Kingdom
490142,20727,LUNCH BAG  BLACK SKULL.,30,12/4/2009 8:36,1.65,14258.0,United Kingdom
490142,84991,60 TEATIME FAIRY CAKE CASES,24,12/4/2009 8:36,0.55,14258.0,United Kingdom
490144,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/4/2009 8:46,2.95,13154.0,United Kingdom
490145,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/4/2009 9:27,1.69,14564.0,Channel Islands
490147,84879,ASSORTED COLOUR BIRD ORNAMENT,160,12/4/2009 9:31,1.45,13408.0,United Kingdom
C490148,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,12/4/2009 9:37,2.95,16961.0,United Kingdom
490149,84991,60 TEATIME FAIRY CAKE CASES,3,12/4/2009 9:43,1.3,,United Kingdom
490149,20727,LUNCH BAG  BLACK SKULL.,3,12/4/2009 9:43,4.3,,United Kingdom
490149,21232,STRAWBERRY CERAMIC TRINKET BOX,8,12/4/2009 9:43,2.57,,United Kingdom
490149,21931,JUMBO STORAGE BAG SUKI,2,12/4/2009 9:43,4.3,,United Kingdom
490154,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/4/2009 10:18,2.95,16335.0,United Kingdom
490154,21232,STRAWBERRY CERAMIC TRINKET BOX,2,12/4/2009 10:18,1.25,16335.0,United Kingdom
490154,20727,LUNCH BAG  BLACK SKULL.,1,12/4/2009 10:18,1.65,16335.0,United Kingdom
490154,21232,STRAWBERRY CERAMIC TRINKET BOX,1,12/4/2009 10:18,1.25,16335.0,United Kingdom
490158,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/4/2009 10:47,2.95,12759.0,Netherlands
490160,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,12/4/2009 10:52,2.55,13777.0,United Kingdom
490161,84991,60 TEATIME FAIRY CAKE CASES,24,12/4/2009 10:57,0.55,17160.0,United Kingdom
490161,20727,LUNCH BAG  BLACK SKULL.,10,12/4/2009 10:57,1.65,17160.0,United Kingdom
490161,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/4/2009 10:57,1.25,17160.0,United Kingdom
490162,21931,JUMBO STORAGE BAG SUKI,10,12/4/2009 11:07,1.95,13946.0,United Kingdom
490163,21931,JUMBO STORAGE BAG SUKI,10,12/4/2009 11:22,1.95,14723.0,United Kingdom
490163,20727,LUNCH BAG  BLACK SKULL.,4,12/4/2009 11:22,1.65,14723.0,United Kingdom
490164,84991,60 TEATIME FAIRY CAKE CASES,24,12/4/2009 11:32,0.55,14961.0,United Kingdom
490164,20727,LUNCH BAG  BLACK SKULL.,10,12/4/2009 11:32,1.65,14961.0,United Kingdom
490167,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/4/2009 11:36,1.69,18061.0,United Kingdom
490202,21931,JUMBO STORAGE BAG SUKI,20,12/4/2009 12:03,1.95,15078.0,United Kingdom
490212,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/4/2009 12:07,2.95,16883.0,United Kingdom
490212,21232,STRAWBERRY CERAMIC TRINKET BOX,7,12/4/2009 12:07,1.25,16883.0,United Kingdom
490218,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/4/2009 12:12,1.25,17076.0,United Kingdom
490219,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/4/2009 12:14,1.25,13948.0,United Kingdom
490229,21931,JUMBO STORAGE BAG SUKI,20,12/4/2009 12:20,1.95,18223.0,United Kingdom
490229,21232,STRAWBERRY CERAMIC TRINKET BOX,144,12/4/2009 12:20,1.06,18223.0,United Kingdom
490272,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/4/2009 12:36,2.95,14680.0,United Kingdom
490272,21232,STRAWBERRY CERAMIC TRINKET BOX,5,12/4/2009 12:36,1.25,14680.0,United Kingdom
490279,84879,ASSORTED COLOUR BIRD ORNAMENT,1,12/4/2009 12:37,1.69,16891.0,United Kingdom
C490283,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,12/4/2009 12:49,1.25,12349.0,Italy
490284,84879,ASSORTED COLOUR BIRD ORNAMENT,3,12/4/2009 12:54,1.69,14979.0,United Kingdom
490284,84879,ASSORTED COLOUR BIRD ORNAMENT,6,12/4/2009 12:54,1.69,14979.0,United Kingdom
490286,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/4/2009 12:59,2.95,14527.0,United Kingdom
490287,20727,LUNCH BAG  BLACK SKULL.,10,12/4/2009 13:00,1.65,16746.0,United Kingdom
490291,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,12/4/2009 13:22,2.95,16541.0,United Kingdom
490297,47566,PARTY BUNTING,10,12/4/2009 13:59,4.65,13162.0,United Kingdom
490298,21931,JUMBO STORAGE BAG SUKI,20,12/4/2009 14:13,1.95,15382.0,United Kingdom
490302,20727,LUNCH BAG  BLACK SKULL.,1,12/4/2009 14:29,1.65,17841.0,United Kingdom
490302,20727,LUNCH BAG  BLACK SKULL.,2,12/4/2009 14:29,1.65,17841.0,United Kingdom
490303,21931,JUMBO STORAGE BAG SUKI,10,12/4/2009 14:33,1.95,17935.0,United Kingdom
490304,47566,PARTY BUNTING,5,12/4/2009 14:35,4.65,17593.0,United Kingdom
490304,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/4/2009 14:35,1.25,17593.0,United Kingdom
490305,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,12/4/2009 14:37,2.95,17243.0,United Kingdom
490308,21232,STRAWBERRY CERAMIC TRINKET BOX,20,12/4/2009 14:52,1.25,12835.0,United Kingdom
490311,21232,STRAWBERRY CERAMIC TRINKET BOX,12,12/4/2009 15:11,1.25,16451.0,United Kingdom
